date,2544
20240915,"{""P13D07012542CN7D712146422"": 0.028739888221025467, ""P13D07012542CN7D795341098"": 0.018667375668883324, ""P13D07012542CN7D878535773"": 0.010195232927799225, ""P13D15336374CN7D878535773"": 0.013553847558796406, ""P13D07012542CN7D961730449"": 0.007992120459675789, ""P13D15336374CN7D961730449"": 0.010369772091507912}"
20240916,"{""P13D07012542CN7D712146422"": 0.035907819867134094, ""P13D07012542CN7D795341098"": 0.02790926955640316, ""P13D07012542CN7D878535773"": 0.019102798774838448, ""P13D15336374CN7D878535773"": 0.023379582911729813, ""P13D07012542CN7D961730449"": 0.016126271337270737, ""P13D15336374CN7D961730449"": 0.024853605777025223}"
