date,2544
20240220,"{""P13D07012542CN7D795341098"": 1.0, ""P13D07012542CN7D878535773"": 1.0, ""P13D07012542CN7D961730449"": 1.0}"
20240221,"{""P13D07012542CN7D795341098"": 1.0, ""P13D07012542CN7D878535773"": 1.0, ""P13D07012542CN7D961730449"": 1.0}"
20240901,"{""P13D07012542CN7D795341098"": 1.0, ""P13D07012542CN7D878535773"": 1.0, ""P13D07012542CN7D961730449"": 1.0}"
20240902,"{""P13D07012542CN7D795341098"": 1.0, ""P13D07012542CN7D878535773"": 1.0, ""P13D07012542CN7D961730449"": 1.0}"
20240903,"{""P13D07012542CN7D795341098"": 1.0, ""P13D07012542CN7D878535773"": 1.0, ""P13D07012542CN7D961730449"": 1.0}"
