date,2544
20240220,"{""P13D07012542CN7D795341098"": 0.9824999780394137, ""P13D07012542CN7D878535773"": 1.0412499767262489, ""P13D07012542CN7D961730449"": 1.0512499765027314}"
20240221,"{""P13D07012542CN7D795341098"": 1.0112499773968011, ""P13D07012542CN7D878535773"": 1.068749976111576, ""P13D07012542CN7D961730449"": 1.0787499758880585}"
20240915,"{""P13D07012542CN7D795341098"": 0.8974999799393117, ""P13D07012542CN7D878535773"": 0.948749978793785, ""P13D07012542CN7D961730449"": 0.9662499784026295}"
20240916,"{""P13D07012542CN7D795341098"": 0.8912499800790101, ""P13D07012542CN7D878535773"": 0.944999978877604, ""P13D07012542CN7D961730449"": 0.9624999784864485}"
