date,2324
20240220,"{""P9D574116305CP4D101497504"": 0.1537499965634197, ""P9D657354618CP4D101497504"": 0.1149999974295497, ""P9D574116305CP4D018302828"": 0.21124999527819455, ""P9D657354618CP4D018302828"": 0.14749999670311809}"
20240221,"{""P9D574116305CP4D101497504"": 0.12999999709427357, ""P9D657354618CP4D101497504"": 0.09374999790452421, ""P9D574116305CP4D018302828"": 0.1762499960605055, ""P9D657354618CP4D018302828"": 0.11999999731779099}"
20240915,"{""P9D574116305CP4D101497504"": 0.12874999712221324, ""P9D657354618CP4D101497504"": 0.09499999787658453, ""P9D574116305CP4D018302828"": 0.18374999589286745, ""P9D657354618CP4D018302828"": 0.1324999970383942}"
20240916,"{""P9D574116305CP4D101497504"": 0.10874999756924808, ""P9D657354618CP4D101497504"": 0.08374999812804163, ""P9D574116305CP4D018302828"": 0.1599999964237213, ""P9D657354618CP4D018302828"": 0.11999999731779099}"
